City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Dali,CN,25.7,100.1833,56.03,70,79,4.34,broken clouds
334,Davila,PH,18.4726,120.5763,85.98,71,4,9.13,clear sky
335,Xuddur,SO,4.1213,43.8894,75.24,79,26,6.33,scattered clouds
336,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.24,89,87,17.25,overcast clouds
337,Iskateley,RU,67.6803,53.1512,0.05,95,14,7.02,few clouds
338,Tuatapere,NZ,-46.1333,167.6833,62.01,72,91,7.02,overcast clouds
339,Great Falls,US,47.5002,-111.3008,52.99,30,0,12.66,clear sky
340,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,6.91,light rain
341,Eyl,SO,7.9803,49.8164,74.62,74,95,9.28,overcast clouds
342,Hof,DE,50.3167,11.9167,37.27,70,0,3.44,clear sky
343,Belmonte,BR,-15.8631,-38.8828,76.96,81,9,4.61,clear sky
344,Det Udom,TH,14.906,105.0784,85.95,52,78,6.8,broken clouds
345,Cascais,PT,38.6979,-9.4215,59.94,68,64,14.0,broken clouds
